run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_promoters_vs_inactive_promoters,A549,2,0.22152176381549327,128,2,6,5,2,1,0.17872269671257668,128,0,7,2,1,2,0.2178592606014384,3,35,0.3891164250718767,2,42,0.3301438444053022,0.8968512415885925,0.0,0.0,0.8425394296646118,0.3533442318439484,0.0,0.5,1.0,1.0,0.0,0.0
test,active_promoters_vs_inactive_promoters,A549,2,0.22152176381549327,128,2,6,5,2,1,0.17872269671257668,128,0,7,2,1,2,0.2178592606014384,3,35,0.3891164250718767,2,42,0.37800061853626105,0.8968814015388489,0.0,0.0,0.7464519739151001,0.2507733404636383,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_promoters_vs_inactive_promoters,A549,2,0.22152176381549327,128,2,6,5,2,1,0.17872269671257668,128,0,7,2,1,2,0.2178592606014384,3,35,0.3891164250718767,2,42,0.3297638423442841,0.8968446254730225,0.0,0.0,0.8427838683128357,0.3534611463546753,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_promoters_vs_inactive_promoters,A549,2,0.22152176381549327,128,2,6,5,2,1,0.17872269671257668,128,0,7,2,1,2,0.2178592606014384,3,35,0.3891164250718767,2,42,0.3299040037488181,0.8968775272369385,0.0,0.0,0.8415791988372803,0.3530259132385254,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,3,0.029962442535853732,128,0,8,1,1,1,0.4903034964678041,128,1,7,5,2,1,0.3055765456120045,0,42,0.02956167941955148,1,42,0.7171810317915469,0.8968512415885925,0.0,0.0,0.5875731110572815,0.158836230635643,0.0,0.5,1.0,1.0,0.0,0.0
test,active_promoters_vs_inactive_promoters,A549,3,0.029962442535853732,128,0,8,1,1,1,0.4903034964678041,128,1,7,5,2,1,0.3055765456120045,0,42,0.02956167941955148,1,42,0.7194297924826417,0.8968814015388489,0.0,0.0,0.5854586362838745,0.1575712263584137,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_promoters_vs_inactive_promoters,A549,3,0.029962442535853732,128,0,8,1,1,1,0.4903034964678041,128,1,7,5,2,1,0.3055765456120045,0,42,0.02956167941955148,1,42,0.7150741188526154,0.8968446254730225,0.0,0.0,0.589552104473114,0.1600722223520279,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_promoters_vs_inactive_promoters,A549,3,0.029962442535853732,128,0,8,1,1,1,0.4903034964678041,128,1,7,5,2,1,0.3055765456120045,0,42,0.02956167941955148,1,42,0.7167185071914915,0.8968775272369385,0.0,0.0,0.579645037651062,0.15431928634643555,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,4,0.3102510725470544,128,1,5,3,2,1,0.08059299105471522,0,0,8,5,1,2,0.1489524978495232,1,28,0.3455739163416053,0,56,0.3461246989405574,0.8968637585639954,0.00012132977280998604,1.0,0.821699321269989,0.3603135347366333,0.00024263010709546504,0.5000606775283813,1.0,0.9998786449432372,0.0,0.010431496426463129
test,active_promoters_vs_inactive_promoters,A549,4,0.3102510725470544,128,1,5,3,2,1,0.08059299105471522,0,0,8,5,1,2,0.1489524978495232,1,28,0.3455739163416053,0,56,0.3636154321175588,0.8968814015388489,0.0,0.0,0.7648221850395203,0.2615771293640137,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_promoters_vs_inactive_promoters,A549,4,0.3102510725470544,128,1,5,3,2,1,0.08059299105471522,0,0,8,5,1,2,0.1489524978495232,1,28,0.3455739163416053,0,56,0.3464629490375519,0.8968603014945984,0.00015165301738306883,1.0,0.8210208415985107,0.3592978119850159,0.000303260050714016,0.5000758171081543,1.0,0.9998483657836914,0.0,0.011662389151751995
valid,active_promoters_vs_inactive_promoters,A549,4,0.3102510725470544,128,1,5,3,2,1,0.08059299105471522,0,0,8,5,1,2,0.1489524978495232,1,28,0.3455739163416053,0,56,0.3448290910039629,0.8968775272369385,0.0,0.0,0.8244075775146484,0.3645859658718109,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,5,0.045091079808970605,85,0,8,1,1,1,0.057927070211359975,128,2,7,6,2,1,0.04624197751312817,1,42,0.02158581372544962,3,64,0.2778793008754048,0.9271000027656556,0.30453774333000183,0.9642720222473145,0.9700510501861572,0.8321000337600708,0.4628861248493194,0.6516199707984924,0.9987022280693054,0.6954622864723206,0.0012977588921785355,0.5195382833480835
test,active_promoters_vs_inactive_promoters,A549,5,0.045091079808970605,85,0,8,1,1,1,0.057927070211359975,128,2,7,6,2,1,0.04624197751312817,1,42,0.02158581372544962,3,64,0.5307017643994922,0.8907243609428406,0.045145630836486816,0.3009708821773529,0.7040020227432251,0.21301430463790894,0.07851414382457733,0.5165450572967529,0.9879444241523744,0.9548543691635132,0.012055589817464352,0.08154629915952682
subtrain,active_promoters_vs_inactive_promoters,A549,5,0.045091079808970605,85,0,8,1,1,1,0.057927070211359975,128,2,7,6,2,1,0.04624197751312817,1,42,0.02158581372544962,3,64,0.27710138231515885,0.9272562265396118,0.3060357868671417,0.9646271467208862,0.9700485467910768,0.8334619402885437,0.4646557569503784,0.6523724794387817,0.998709201812744,0.6939641833305359,0.0012907952768728135,0.5209718942642212
valid,active_promoters_vs_inactive_promoters,A549,5,0.045091079808970605,85,0,8,1,1,1,0.057927070211359975,128,2,7,6,2,1,0.04624197751312817,1,42,0.02158581372544962,3,64,0.27749036843814545,0.9264751672744752,0.29854369163513184,0.9628180265426636,0.970067024230957,0.8267509341239929,0.4557665586471558,0.6486090421676636,0.9986743927001952,0.7014563083648682,0.0013256121892482042,0.5137676596641539
